fawn,fawned
meander,meandered
decelerate,decelerated
camber,cambered
befriend,befriended
revoke,revoked
skip,skipped
relieve,relieved
peruse,perused
invent,invented
muss,mussed
skim,skimmed
skin,skinned
mill,milled
milk,milked
misread,misread
depend,depended
tariff,tariffed
swoon,swooned
father,fathered
amaze,amazed
swoop,swooped
overproduce,overproduced
unburden,unburdened
encircle,encircled
string,strung
bullyrag,bullyragged
woosh,wooshed
decamp,decamped
lynch,lynched
jettison,jettisoned
stiffen,stiffened
dim,dimmed
din,dinned
die,died
dig,dug
grimace,grimaced
dip,dipped
round,rounded
shave,shaved
grovel,grovelled
slake,slaked
trisect,trisected
twaddle,twaddled
unbar,unbarred
fillet,filleted
reunite,reunited
suspect,suspected
dwarf,dwarfed
wail,wailed
clerk,clerked
overwinter,overwintered
detest,detested
decipher,deciphered
oversimplify,oversimplified
wait,waited
box,boxed
cuckoo,cuckooed
institute,instituted
shift,shifted
bow,bowed
boo,booed
bob,bobbed
conglobate,conglobated
massage,massaged
demodulate,demodulated
machinate,machinated
elect,elected
bastinado,bastinadoed
supinate,supinated
verge,verged
surmount,surmounted
transplant,transplanted
perk,perked
visit,visited
encode,encoded
sharpen,sharpened
swagger,swaggered
cremate,cremated
fly,flew
demolish,demolished
impel,impelled
sour,soured
arrive,arrived
claim,claimed
predict,predicted
fuck,fucked
sample,sampled
disbelieve,disbelieved
craze,crazed
pink,pinked
purr,purred
traipse,traipsed
tilt,tilted
ping,pinged
parch,parched
pine,pined
till,tilled
tile,tiled
purl,purled
map,mapped
mar,marred
mat,matted
collude,colluded
subrogate,subrogated
catcall,catcalled
grow,grew
man,manned
relinquish,relinquished
omen,omened
perambulate,perambulated
purify,purified
disembowel,disembowelled
cascade,cascaded
switch,switched
jail,jailed
deposit,deposited
deceive,deceived
unleash,unleashed
bungle,bungled
talk,talked
uncork,uncorked
shield,shielded
recoup,recouped
terrace,terraced
pitch,pitched
equip,equipped
grout,grouted
outbrave,outbraved
group,grouped
monitor,monitored
hyphenate,hyphened
maim,maimed
mail,mailed
enfeoff,enfeoffed
bunt,bunted
finance,financed
shatter,shattered
emplane,emplaned
tucker,tuckered
lunch,lunched
titillate,titillated
bullshit,bullshitted
possess,possessed
outweigh,outweighed
fudge,fudged
promulgate,promulgated
gamble,gambled
rock,rocked
hijack,hijacked
surfeit,surfeited
unlock,unlocked
unclasp,unclasped
batfowl,batfowled
relive,relived
stitch,stitched
undulate,undulated
blubber,blubbered
dominate,dominated
correct,corrected
ammoniate,ammoniated
smatter,smattered
smudge,smudged
spiel,spieled
jaywalk,jaywalked
cough,coughed
orb,orbed
advance,advanced
pollard,pollarded
corrugate,corrugated
think,thought
frequent,frequented
cheese,cheesed
crib,cribbed
disburse,disbursed
fast,fasted
carry,carried
cloture,clotured
basify,basified
interchange,interchanged
lap,lapped
lambaste,lambasted
escort,escorted
daunt,daunted
repatriate,repatriated
blacklist,blacklisted
interdict,interdicted
butt,butted
blackguard,blackguarded
hemstitch,hemstitched
infiltrate,infiltrated
deafen,deafened
underprice,underpriced
venture,ventured
proofread,proofread
lick,licked
capsize,capsized
retort,retorted
dash,dashed
sulk,sulked
squat,squatted
isolate,isolated
clunk,clunked
canton,cantoned
channel,channelled
pain,pained
trace,traced
track,tracked
zigzag,zigzagged
assault,assaulted
barrage,barraged
inspirit,inspirited
pair,paired
typeset,typeset
scowl,scowled
voodoo,voodooed
shop,shopped
show,showed
accession,accessioned
elevate,elevated
shoe,shod
disunite,disunited
corner,cornered
ladle,ladled
label,labelled
shoo,shooed
fend,fended
dice,diced
plume,plumed
treasure,treasured
plumb,plumbed
black,
mistranslate,mistranslated
travesty,travestied
plump,plumped
dulcify,dulcified
esterify,esterified
stomp,stomped
grubstake,grubstaked
gee,geed
wheeze,wheezed
gibber,gibbered
gibbet,gibbeted
disinherit,disinherited
beseech,besought
harbinger,harbingered
yield,yielded
consubstantiate,consubstantiated
fixate,fixated
seat,seated
seam,seamed
seal,sealed
calendar,calendared
adjudge,adjudged
wonder,wondered
limber,limbered
ornament,ornamented
ideate,ideated
forecast,forecasted
pump,pumped
satiate,satiated
tut,tutted
countenance,countenanced
tug,tugged
librate,librated
tuck,tucked
fulminate,fulminated
dedicate,dedicated
tour,toured
tout,touted
remake,remade
spank,spanked
uncouple,uncoupled
cancel,cancelled
undock,undocked
tinkle,tinkled
intrude,intruded
caricature,caricatured
wobble,wobbled
certify,certified
mark,marked
squash,squashed
disesteem,disesteemed
deconsecrate,deconsecrated
wake,woke
overdose,overdosed
sound,sounded
invigorate,invigorated
slumber,slumbered
tonsure,tonsured
cannonade,cannonaded
compile,compiled
cock,cocked
huckster,huckstered
bathe,bathed
marcel,marcelled
middle,middled
incubate,incubated
pat,patted
foreknow,foreknew
doctor,doctored
pay,payed
lave,laved
demur,demurred
pad,padded
pal,palled
pan,panned
exhaust,exhausted
oil,oiled
assist,assisted
munch,munched
decompress,decompressed
adjure,adjured
weave,wove
countermarch,countermarched
drain,drained
suffuse,suffused
strickle,strickled
solve,solved
bottle,bottled
soundproof,soundproofed
parody,parodied
overprint,overprinted
fume,fumed
imprint,imprinted
griddle,griddled
sinter,sintered
forgo,forwent
pile,piled
decalcify,decalcified
eviscerate,eviscerated
overpraise,overpraised
grip,gript
grit,gritted
mop,mopped
mow,mowed
moo,mooed
mob,mobbed
railroad,
implicate,implicated
grin,grinned
chamber,chambered
nose,nosed
nosh,noshed
afflict,afflicted
commandeer,commandeered
ascend,ascended
erase,erased
pasture,pastured
gross,grossed
confirm,confirmed
pioneer,pioneered
inject,injected
gladden,gladdened
moderate,moderated
knife,knifed
breastfeed,breastfed
squall,squalled
giggle,giggled
tease,teased
roar,roared
smear,smeared
fringe,fringed
thrive,thrived
lithograph,lithographed
solidify,solidified
roam,roamed
repine,repined
disorientate,disoriented
splint,splinted
harness,harnessed
whiten,whitened
strip,stripped
bedim,bedimmed
madden,maddened
decode,decoded
outmatch,outmatched
shroud,shrouded
hiccup,hiccuped
gore,gored
defoliate,defoliated
spice,spiced
annihilate,annihilated
imbrue,imbrued
rewire,rewired
eschew,eschewed
grouch,grouched
roughhouse,roughhoused
censor,censored
examine,examined
deem,deemed
nucleate,nucleated
file,filed
prostitute,prostituted
hound,hounded
film,filmed
fill,filled
repent,repented
commingle,commingled
field,fielded
interstratify,interstratified
shelter,sheltered
rigidify,rigidified
scarper,scarpered
tackle,tackled
revolve,revolved
sneeze,sneezed
delineate,delineated
grudge,grudged
unload,unloaded
peculate,peculated
vociferate,vociferated
burrow,burrowed
represent,represented
forget,forgot
founder,foundered
paginate,paginated
wrestle,wrestled
crimson,crimsoned
bestir,bestirred
parcel,parcelled
malinger,malingered
scour,scoured
bleach,bleached
bottleneck,bottlenecked
vouchsafe,vouchsafed
dampen,dampened
triangulate,triangulated
enrapture,enraptured
chandelle,chandelled
prorogue,prorogued
abridge,abridged
clinch,clinched
gnarl,gnarled
zero,zeroed
overlie,overlay
shillyshally,shillyshallied
further,furthered
misrepresent,misrepresented
dial,dialed
ruminate,ruminated
stool,stooled
stoop,stooped
falsify,falsified
mull,mulled
twang,twanged
ingratiate,ingratiated
beacon,beaconed
table,tabled
search,searched
luxuriate,luxuriated
scurry,scurried
narrow,narrowed
fatten,fattened
prejudge,prejudged
caravan,caravanned
transit,transited
sanction,sanctioned
establish,established
eye,eyed
codify,codified
trounce,trounced
puke,puked
splash,splashed
libel,libelled
crepitate,crepitated
raft,rafted
intumesce,intumesced
reconvert,reconverted
animadvert,animadverted
blandish,blandished
counterclaim,counterclaimed
cluster,clustered
recall,recalled
remain,remained
paragraph,paragraphed
abandon,abandoned
marble,marbled
bivouac,bivouacked
sleuth,sleuthed
shark,sharked
buttress,buttressed
share,shared
attain,attained
junket,junketed
freckle,freckled
interbreed,interbred
comfort,comforted
stir,stirred
bleat,bleated
blear,bleared
blacken,blackened
interpose,interposed
explicate,explicated
blood,blooded
reclassify,reclassified
bloom,bloomed
lipread,lipread
chute,chuted
coax,coaxed
coat,coated
paw,pawed
blunder,blundered
mislead,misled
coal,coaled
unclothe,unclothed
lollop,lolloped
serenade,serenaded
unchurch,unchurched
displease,displeased
suffer,suffered
prevaricate,prevaricated
fissure,fissured
bosom,bosomed
emend,emended
braise,braised
goof,goofed
chirp,chirped
contradistinguish,contradistinguished
detour,detoured
compound,compounded
detach,detached
complain,complained
bombard,bombarded
huddle,huddled
auspicate,auspicated
countersign,countersigned
evade,evaded
extenuate,extenuated
clamp,clamped
harm,harmed
hark,harked
house,housed
hare,hared
electroplate,electroplated
connect,connected
ripple,rippled
callus,callused
orient,oriented
harp,harped
flower,flowered
prink,prinked
vitiate,vitiated
avenge,avenged
print,printed
bully,bullied
companion,companioned
recast,recast
stratify,stratified
omit,omitted
desiccate,desiccated
predate,predated
wither,withered
corkscrew,corkscrewed
trickle,trickled
copper,coppered
perturb,perturbed
shoal,shoaled
wager,wagered
jabber,jabbered
clapperclaw,clapperclawed
divorce,divorced
reline,relined
revive,revived
construct,constructed
paint,painted
leash,leashed
smoothen,smoothened
lease,leased
catapult,catapulted
bumble,bumbled
pare,pared
travail,travailed
needle,needled
park,parked
part,parted
differentiate,differentiated
believe,believed
oscillate,oscillated
preachify,preachified
commiserate,commiserated
pleach,pleached
sedate,sedated
filibuster,filibustered
declare,declared
efface,effaced
swerve,swerved
prefigure,prefigured
plead,pled
twiddle,twiddled
dismember,dismembered
blanch,blanched
refute,refuted
couch,couched
build,built
flute,fluted
chart,charted
charm,charmed
outpoint,outpointed
fluctuate,fluctuated
saturate,saturated
squelch,squelched
weigh,weighed
ghostwrite,ghostwrote
converge,converged
fink,finked
chock,chocked
fine,fined
ruin,ruined
override,overrode
prearrange,prearranged
devastate,devastated
batten,battened
express,expressed
ferret,ferreted
cheapen,cheapened
batter,battered
breast,breasted
cumulate,cumulated
inaugurate,inaugurated
huff,huffed
elapse,elapsed
resolve,resolved
susurrate,susurrated
remove,removed
supercede,superceded
gazump,gazumped
arouse,aroused
overeat,overate
tender,tendered
petrify,petrified
marinate,marinated
debar,debarred
equivocate,equivocated
please,pleased
abrade,abraded
donate,donated
concatenate,concatenated
rosin,rosined
complement,complemented
barrack,barracked
scuttle,scuttled
premise,premised
poniard,poniarded
larn,larned
reverse,reversed
quell,quelled
spume,spumed
undershoot,
confabulate,confabulated
consume,consumed
point,pointed
dwindle,dwindled
smother,smothered
wrick,wricked
toddle,toddled
raise,raised
fructify,fructified
create,created
gas,gassed
misgive,misgave
understand,understood
overcompensate,overcompensated
gag,gagged
gad,gadded
rupture,ruptured
straiten,straitened
pierce,pierced
unify,unified
bill,billed
bilk,bilked
horseshoe,horseshoed
astound,astounded
calender,calendered
enervate,enervated
commutate,commutated
regulate,regulated
irradiate,irradiated
ingrain,ingrained
seduce,seduced
butcher,butchered
discourse,discoursed
bristle,bristled
contravene,contravened
itch,itched
flurry,flurried
stripe,striped
aggregate,aggregated
unveil,unveiled
swish,swished
supersede,superseded
rearm,rearmed
halve,halved
appertain,appertained
withdraw,withdrew
toil,toiled
recant,recanted
spend,spent
howl,howled
bandage,bandaged
palpate,palpated
segregate,segregated
shape,shaped
wage,waged
cut,cut
cup,cupped
alternate,alternated
cue,cued
cub,cubbed
reproof,
bin,binned
squawk,squawked
bid,bid
displace,displaced
redeem,redeemed
divagate,divagated
pollinate,pollinated
knock,knocked
blemish,blemished
miff,miffed
retake,retook
mint,minted
flux,fluxed
transgress,transgressed
rede,reded
back,backed
impeach,impeached
accelerate,accelerated
circumscribe,circumscribed
candle,candled
scald,scalded
scale,scaled
pet,petted
pelt,pelted
hopple,hoppled
pen,pent
eliminate,eliminated
scalp,scalped
lard,larded
lark,larked
pee,peed
peg,pegged
invade,invaded
opalesce,opalesced
rumble,rumbled
bluster,blustered
alkalify,alkalified
jimmy,jimmied
sniffle,sniffled
depose,deposed
clack,clacked
epilate,epilated
vamoose,vamoosed
jockey,jockeyed
scrimshank,scrimshanked
overpower,overpowered
gaggle,gaggled
forward,forwarded
translate,translated
invite,invited
pronounce,pronounced
ambulate,ambulated
cloud,clouded
discomfit,discomfited
carburet,carburetted
groove,grooved
repulse,repulsed
partition,partitioned
flow,flowed
blur,blurred
deprive,deprived
single,singled
cure,cured
curb,curbed
curl,curled
antiquate,antiquated
prevail,prevailed
overfeed,overfed
adjudicate,adjudicated
excrete,excreted
assassinate,assassinated
confine,confined
quaff,quaffed
lend,lent
cater,catered
macerate,macerated
desert,deserted
bedaub,bedaubed
rinse,rinsed
pussyfoot,pussyfooted
whang,whanged
wrangle,wrangled
query,queried
strew,strewed
compose,composed
welter,weltered
compost,composted
blaze,blazed
gravel,gravelled
brigade,brigaded
electrocute,electrocuted
assay,assayed
accuse,accused
reverberate,reverberated
arrange,arranged
resurface,resurfaced
shock,shocked
ride,rode
buckram,buckramed
crow,crowed
chomp,chomped
append,appended
decontaminate,decontaminated
zest,zested
speckle,speckled
paddle,paddled
access,accessed
exercise,exercised
body,bodied
exchange,exchanged
intercept,intercepted
sink,sunk
poleax,poleaxed
dissuade,dissuaded
sing,sung
mewl,mewled
bode,boded
incinerate,incinerated
resurrect,resurrected
climb,climbed
abominate,abominated
limp,limped
egress,egressed
limn,limned
beckon,beckoned
tap,tapped
staple,stapled
lime,limed
superordinate,superordinated
aviate,aviated
overbear,overbore
charcoal,charcoaled
engender,engendered
billet,billeted
thatch,thatched
trail,trailed
train,trained
coruscate,coruscated
enslave,enslaved
harvest,harvested
account,accounted
tunnel,tunnelled
sibilate,sibilated
praise,praised
exterminate,exterminated
fetch,fetched
interlope,interloped
antedate,antedated
lamb,lambed
lame,lamed
forest,forested
occlude,occluded
stock,stocked
nullify,nullified
deflagrate,deflagrated
bemire,bemired
bluff,bluffed
frap,frapped
fray,frayed
drape,draped
correspond,corresponded
furnish,furnished
ignite,ignited
disarm,disarmed
meter,metered
accrete,accreted
envisage,envisaged
bunch,bunched
cudgel,cudgelled
outbid,outbid
dab,dabbed
actuate,actuated
spell,spelt
muddle,muddled
denigrate,denigrated
mention,mentioned
mandate,mandated
strive,strove
flail,flailed
thrill,thrilled
slacken,slackened
preclude,precluded
disregard,disregarded
activate,activated
thwart,thwarted
calibrate,calibrated
wade,waded
fondle,fondled
defend,defended
understudy,understudied
rev,revved
repress,repressed
stub,stubbed
mate,mated
stud,studded
lecture,lectured
postpone,postponed
stun,stunned
bleep,bleeped
hanker,hankered
clarify,clarified
upbraid,upbraided
hazard,hazarded
bleed,bled
indent,indented
peeve,peeved
steal,stole
yarn,yarned
farrow,farrowed
retain,retained
retail,retailed
facilitate,facilitated
predominate,predominated
suffix,suffixed
overshoot,overshot
sack,sacked
whoop,whooped
betroth,betrothed
hurdle,hurdled
frazzle,frazzled
stencil,stencilled
decrease,decreased
tootle,tootled
regurgitate,regurgitated
jingle,jingled
dissever,dissevered
gear,geared
eavesdrop,eavesdropped
retrench,retrenched
writhe,writhed
hem,hummed
reaffirm,reaffirmed
slack,slacked
shampoo,shampooed
impale,impaled
overindulge,overindulged
gambol,gambolled
curvet,curvetted
tidy,tidied
tide,tided
enucleate,enucleated
cavern,caverned
have,had
dictate,dictated
waken,wakened
mix,mixed
neaten,neatened
innervate,innervated
procure,procured
rearrange,rearranged
propagate,propagated
clamber,clambered
hoodwink,hoodwinked
snuffle,snuffled
gather,gathered
request,requested
rendezvous,rendezvoused
occasion,occasioned
outlive,outlived
thicken,thickened
recess,recessed
kite,kited
incapacitate,incapacitated
rebuke,rebuked
sidetrack,sidetracked
floodlight,floodlit
staff,staffed
startle,startled
ossify,ossified
prolong,prolonged
resubmit,resubmited
outwear,outwore
starch,starched
beat,beat
pave,paved
accrue,accrued
beam,beamed
darken,darkened
bead,beaded
misappropriate,misappropriated
benumb,benumbed
irrupt,irrupted
defame,defamed
conform,conformed
puddle,puddled
blackball,blackballed
reiterate,reiterated
dislodge,dislodged
extradite,extradited
progress,progressed
admeasure,admeasured
sorrow,sorrowed
grumble,grumbled
transpose,transposed
disport,disported
joke,joked
equal,equaled
pulp,pulped
unbutton,unbuttoned
predispose,predisposed
swallow,swallowed
comment,commented
vent,vented
commend,commended
vend,vended
devoice,devoiced
recompense,recompensed
harpoon,harpooned
electrify,electrified
muddy,muddied
logroll,logrolled
gaze,gazed
curtain,curtained
curtail,curtailed
define,defined
upheave,upheaved
minify,minified
delimitate,delimited
assert,asserted
tense,tensed
bull,bulled
exfoliate,exfoliated
volunteer,volunteered
fustigate,fustigated
plain,plained
value,valued
plait,plated
cox,coxed
permeate,permeated
bicker,bickered
dissent,dissented
partner,partnered
topdress,topdressed
portray,portrayed
whirl,whirled
unlade,unladed
enplane,enplaned
shuttle,shuttled
infer,inferred
cod,codded
supercharge,supercharged
pockmark,pockmarked
clop,clopped
misgovern,misgoverned
grandstand,grandstanded
besmirch,besmirched
insure,insured
retard,retarded
backstitch,backstitched
position,positioned
muscle,muscled
reintroduce,reintroduced
fluoridate,fluoridated
unarm,unarmed
stooge,stooged
ratify,ratified
necessitate,necessitated
inveigle,inveigled
evince,evinced
surpass,surpassed
widen,widened
graduate,graduated
pretermit,pretermitted
underact,underacted
rebate,rebated
add,added
scrimp,scrimped
reenact,reenacted
ravel,ravelled
smart,smarted
miscalculate,miscalculated
insert,inserted
like,liked
edit,edited
heed,heeded
arraign,arraigned
shrinkwrap,shrinkwrapped
heel,heeled
decease,deceased
propel,propelled
hail,hailed
corroborate,corroborated
convey,conveyed
escallop,escalloped
edulcorate,edulcorated
reify,reified
shrug,shrugged
muff,muffed
snuggle,snuggled
regain,regained
pepper,peppered
hose,hosed
slight,slighted
aerify,aerified
host,hosted
expire,expired
narrate,narrated
panel,panelled
flake,flaked
preen,preened
decimate,decimated
evoke,evoked
discard,discarded
reave,reaved
miscast,miscast
guard,guarded
esteem,esteemed
ridge,ridged
buckle,buckled
outline,outlined
condense,condensed
ablate,ablated
introvert,introverted
buy,bought
bur,burred
bus,bussed
brand,branded
disambiguate,disambiguated
dandle,dandled
plague,plagued
bum,bummed
tiller,tillered
bug,bugged
bud,budded
embargo,embargoed
glory,gloried
flit,flitted
spacewalk,spacewalked
flip,flipped
skylark,skylarked
confect,confected
troat,troated
pin,pinned
whisper,whispered
pig,pigged
crusade,crusaded
pip,pipped
pit,pitted
detail,detailed
detain,detained
babbitt,babbitted
redden,reddened
bundle,bundled
wallow,wallowed
intussuscept,intussuscepted
wallop,walloped
ramble,rambled
yelp,yelped
bulwark,bulwarked
yell,yelled
parole,paroled
disarray,disarrayed
hitch,hitched
sleet,sleeted
sleep,slept
hate,hated
muzzle,muzzled
ventilate,ventilated
violate,violated
sallow,sallowed
tweet,tweeted
whipsaw,whipsawed
rankle,rankled
undergird,undergirded
pride,prided
shellac,shellacked
derogate,derogated
conjecture,conjectured
risk,risked
dispense,dispensed
rise,rose
lurk,lurked
abreact,abreacted
adumbrate,adumbrated
disfranchise,disfranchised
jack,jacked
evert,everted
encounter,encountered
school,schooled
parrot,parroted
conceive,conceived
commute,commuted
enjoy,enjoyed
disclose,disclosed
overdo,overdid
bicycle,bicycled
direct,directed
snafu,snafued
louden,loudened
nail,nailed
persuade,persuaded
ransack,ransacked
blue,blued
hide,hid
conduce,conduced
worsen,worsened
introspect,introspected
poison,poisoned
insinuate,insinuated
conduct,conducted
fall,fell
jaundice,jaundiced
prate,prated
jampack,jampacked
metamorphose,metamorphosed
acidify,acidified
punch,punched
superannuate,superannuated
verbify,verbified
ravish,ravished
auction,auctioned
ridicule,ridiculed
culminate,culminated
outpace,outpaced
lignify,lignified
leaven,leavened
enfranchise,enfranchised
stray,strayed
straw,strawed
souse,soused
strap,strapped
descale,descaled
pigeonhole,pigeonholed
mediate,mediated
racketeer,racketeered
swinge,swinged
spike,spiked
breathe,breathed
blather,blathered
interpenetrate,interpenetrated
muse,mused
phone,phoned
masticate,masticated
adjourn,adjourned
moil,moiled
pouch,pouched
shoot,shot
join,joined
micturate,micturated
declassify,declassified
tissue,tissued
install,installed
salvage,salvaged
dither,dithered
quarrel,quarrelled
defile,defiled
loosen,loosened
jumble,jumbled
attract,attracted
calve,calved
guarantee,guaranteed
legislate,legislated
end,ended
trill,trilled
keen,keened
bunk,bunked
slalom,slalomed
keel,keeled
mollycoddle,mollycoddled
gate,gated
raffle,raffled
moisten,moistened
unhorse,unhorsed
befog,befogged
mispronounce,mispronounced
mess,messed
famish,famished
lump,lumped
whittle,whittled
mesh,meshed
parallel,parallelled
derequisition,derequisitioned
hedgehop,hedgehopped
spout,spouted
arbitrate,arbitrated
perform,performed
scout,scouted
environ,environed
enter,entered
broider,broidered
fetter,fettered
deform,deformed
sprout,sprouted
clench,clenched
reorient,reoriented
outshine,outshone
strangle,strangled
digest,digested
outface,outfaced
comprehend,comprehended
tramp,tramped
strand,stranded
fade,faded
mistreat,mistreated
croquet,croqueted
plaster,plastered
roost,roosted
depopulate,depopulated
manicure,manicured
chuck,chucked
explode,exploded
affiliate,affiliated
dethrone,dethroned
consolidate,consolidated
prohibit,prohibited
reface,refaced
unscrew,unscrewed
waffle,waffled
clothe,clothed
pounce,pounced
depress,depressed
underbid,underbid
intonate,intonated
underwrite,underwrote
associate,associated
hang,hung
free,freed
streamline,streamlined
constellate,constellated
superimpose,superimposed
fret,fretted
filter,filtered
aspire,aspired
recite,recited
sporulate,sporulated
rank,ranked
bushwhack,bushwhacked
restrict,restricted
rant,ranted
vaticinate,vaticinated
sober,sobered
top,topped
tow,towed
tot,totted
overact,overacted
bethink,bethought
tog,togged
toe,toed
murder,murdered
overdraw,overdrew
tool,tooled
serve,served
dado,dadoed
embellish,embellished
toot,tooted
incur,incurred
tampon,tamponed
lather,lathered
rampage,rampaged
nominate,nominated
flame,flamed
expostulate,expostulated
beard,bearded
bridge,bridged
fashion,fashioned
ram,rammed
drip,dripped
rat,ratted
barde,barded
rap,rapped
protract,protracted
doff,doffed
spade,spaded
ray,rayed
relapse,relapsed
snow,snowed
hatch,hatched
decaffeinate,decaffeinated
snog,snogged
predigest,predigested
foliate,foliated
audition,auditioned
coif,coiffed
coil,coiled
coin,coined
glow,glowed
interject,interjected
flop,flopped
metal,metaled
caterwaul,caterwauled
perorate,perorated
forestall,forestalled
flog,flogged
yank,yanked
bait,baited
inspire,inspired
endear,endeared
alight,alighted
queen,queened
skitter,skittered
dupe,duped
reissue,reissued
radio,radioed
queer,queered
earth,earthed
peddle,peddled
bail,bailed
spite,spited
dateline,datelined
abjure,abjured
disgust,disgusted
lodge,lodged
announce,announced
capriole,caprioled
waltz,waltzed
watch,watched
baffle,baffled
report,reported
reconstruct,reconstructed
peroxide,peroxided
erupt,erupted
disembroil,disembroiled
bowse,bowsed
pummel,pummelled
habit,habited
wrest,wrested
nut,nutted
preordain,preordained
resist,resisted
corrupt,corrupted
percuss,percussed
accede,acceded
propitiate,propitiated
mud,mudded
mug,mugged
bestride,bestrode
finger,fingered
approach,approached
drowse,drowsed
liaise,liaised
opsonize,opsonized
wean,weaned
contort,contorted
boss,bossed
rime,rimed
devour,devoured
wear,wore
improve,improved
circumvallate,circumvallated
protect,protected
fault,faulted
jelly,jellied
disengage,disengaged
tattle,tattled
stipple,stippled
confide,confided
inactivate,inactivated
trust,trusted
truss,trussed
beef,beefed
beep,beeped
loft,lofted
steamroller,steamrollered
craft,crafted
catch,caught
snipe,sniped
schlep,schlepped
lessen,lessened
subjugate,subjugated
precede,preceded
pyramid,pyramided
descant,descanted
surcharge,surcharged
suggest,suggested
overstep,overstepped
inventory,inventoried
welsh,welshed
deflect,deflected
cycle,cycled
punctuate,punctuated
pause,paused
gabble,gabbled
mother,mothered
dissimulate,dissimulated
bugger,buggered
appease,appeased
goffer,goffered
bruise,bruised
exuberate,exuberated
ingeminate,ingeminated
modulate,modulated
enlighten,enlightened
befit,befitted
misprint,misprinted
comminute,comminuted
bandy,bandied
dismount,dismounted
reapportion,reapportioned
judge,judged
scruple,scrupled
ditto,dittoed
gift,gifted
contradict,contradicted
hunt,hunted
zoom,zoomed
officer,officered
anastomose,anastomosed
envision,envisioned
stereotype,stereotyped
excerpt,excerpted
sponge,sponged
accost,accosted
scrabble,scrabbled
escape,scaped
guess,guessed
manducate,manducated
cooper,coopered
combat,combated
ice,iced
backspace,backspaced
allocate,allocated
convict,convicted
cord,corded
core,cored
brawl,brawled
corn,corned
bromate,bromated
enunciate,enunciated
cork,corked
discount,discounted
shuck,shucked
garnishee,garnisheed
plug,pluged
choke,choked
enshroud,enshrouded
caulk,caulked
inveigh,inveighed
twitch,twitched
curry,curried
blabber,blabbered
bate,bated
pronate,pronated
puzzle,puzzled
bath,bathed
accommodate,accommodated
emigrate,emigrated
rely,relied
implore,implored
scamper,scampered
transform,transformed
whistlestop,whistlestoped
gin,ginned
head,headed
heal,healed
discourage,discouraged
heat,het
hear,heard
outfox,outfoxed
heap,heaped
choreograph,choreographed
humiliate,humiliated
counsel,counselled
muster,mustered
unpin,unpinned
bargain,bargained
adore,adored
decorate,decorated
usher,ushered
bide,bided
latch,latched
adorn,adorned
trim,trimmed
forearm,forearmed
decrypt,decrypted
depone,deponed
effervesce,effervesced
trip,tripped
approbate,approbated
inspissate,inspissated
tip,tipped
piffle,piffled
overbid,overbid
tin,tinned
disarticulate,disarticulated
whet,whetted
tie,tied
implant,implanted
picture,pictured
reconsider,reconsidered
cede,ceded
liquidate,liquidated
benefice,beneficed
discharge,discharged
ululate,ululated
yacht,yachted
withhold,withheld
fasten,fastened
coach,coached
dispirit,dispirited
rob,robbed
focus,focussed
obviate,obviated
snip,snipped
rot,rotted
row,rowed
charge,charged
quash,quashed
assoil,assoiled
advantage,advantaged
impend,impended
underpay,underpaid
airlift,airlifted
gravitate,gravitated
convoke,convoked
masturbate,masturbated
waylay,waylaid
cook,cooked
cool,cooled
level,levelled
enthuse,enthused
encroach,encroached
lever,levered
intercommunicate,intercommunicated
trend,trended
pore,pored
weatherproof,weatherproofed
complot,complotted
toughen,toughened
port,ported
substitute,substituted
hymn,hymned
hypothecate,hypothecated
tarmac,tarmacked
reply,replied
corbel,corbelled
water,watered
entertain,entertained
witch,witched
grope,groped
sleepwalk,sleepwalked
boast,boasted
rethink,rethought
catnap,catnapped
blotch,blotched
reincarnate,reincarnated
outride,outrode
emerge,emerged
tweak,tweaked
compare,compared
wreak,wreaked
outrival,outrivalled
thrum,thrummed
peep,peeped
sledgehammer,sledgehammered
concoct,concocted
scan,scanned
ravage,ravaged
unsheathe,unsheathed
prey,preyed
dowse,dowsed
dismay,dismayed
riot,rioted
muffle,muffled
cashier,cashiered
drown,drowned
befuddle,befuddled
ferry,ferried
pickle,pickled
streak,streaked
sandbag,sandbagged
trump,trumped
stream,streamed
outvie,outvied
stroke,stroked
cube,cubed
surround,surrounded
provoke,provoked
filtrate,filtrated
stenograph,stenographed
dope,doped
levy,levied
spue,spued
scoff,scoffed
repeat,repeated
reposition,repositioned
amuse,amused
inform,informed
unfreeze,unfroze
refund,refunded
sonnet,sonneted
abet,abetted
worship,worshipped
swank,swanked
sugarcoat,sugarcoated
decontrol,decontrolled
pervade,pervaded
cajole,cajoled
conquer,conquered
rescind,rescinded
occult,occulted
execute,executed
name,named
clutch,clutched
gape,gaped
torch,torched
plant,planted
transmigrate,transmigrated
counterchange,counterchanged
concur,concurred
envenom,envenomed
profit,profited
condole,condoled
extrapolate,extrapolated
collate,collated
hulk,hulked
hobble,hobbled
delude,deluded
flare,flared
impose,imposed
motion,motioned
turn,turned
place,placed
swing,swung
turf,turfed
preach,preached
excommunicate,excommunicated
feign,feigned
suspend,suspended
insist,insisted
array,arrayed
intone,intoned
engineer,engineered
district,districted
haggle,haggled
flutter,fluttered
assort,assorted
persecute,persecuted
white,whited
unfrock,unfrocked
hug,hugged
cope,coped
hum,hummed
indoctrinate,indoctrinated
backpedal,backpedalled
